time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
50.5132245300,0.1152035680,0.0296172530,0.0151532890,0.0070962940,0.0164224730,0.0122786660,0.0108498810,0.0094239240,0.0092933550,0.0094592420,0.0094732890,0.0093391120,0.0095857330,0.0137670710,0.0178947520,0.0159425490,0.0204463710,0.0011341640,0.0009424750,50968.7248100000,52152.6777500000,0.9321198900, 
50.5217578900,0.1151883840,0.0295863090,0.0151320180,0.0070815560,0.0163787820,0.0122435470,0.0108218490,0.0093997260,0.0092699270,0.0094374190,0.0094563410,0.0093197710,0.0095623440,0.0137390520,0.0178639080,0.0159254010,0.0204394060,0.0011359950,0.0009440910,52686.6594500000,51971.7081400000,0.9321138330, 
50.5302912500,0.1152192930,0.0296313460,0.0151850130,0.0071280790,0.0164386030,0.0122959890,0.0108700070,0.0094551960,0.0093186700,0.0094844050,0.0095081390,0.0093623030,0.0095963240,0.0137858100,0.0179127740,0.0159495010,0.0204693310,0.0011374770,0.0009453120,50396.2974300000,51790.7385300000,0.9321123610, 
50.5388246100,0.1152185670,0.0296171220,0.0151658740,0.0071181050,0.0164144310,0.0122765590,0.0108590680,0.0094426920,0.0093141420,0.0094855230,0.0095035590,0.0093646150,0.0095958500,0.0137920830,0.0179289100,0.0159517140,0.0204691850,0.0011377280,0.0009450700,51519.6525800000,51609.7689200000,0.9321126460, 
50.5473579700,0.1151834960,0.0295997020,0.0151469840,0.0070940880,0.0163779910,0.0122428390,0.0108303630,0.0094122620,0.0092814880,0.0094506890,0.0094691940,0.0093336170,0.0095748050,0.0137547920,0.0178842820,0.0159342790,0.0204461770,0.0011369790,0.0009426280,52613.0420700000,51614.1361300000,0.9321051590, 
50.5558913300,0.1151806570,0.0295945970,0.0151426400,0.0070795850,0.0163814350,0.0122405700,0.0108235950,0.0093974790,0.0092718790,0.0094356930,0.0094565350,0.0093205350,0.0095675810,0.0137487250,0.0178763550,0.0159304680,0.0204416090,0.0011354860,0.0009404590,53185.2820000000,51719.0253500000,0.9320812770, 
50.5644246900,0.1152009320,0.0296275020,0.0151730540,0.0071083650,0.0164506750,0.0122998600,0.0108752790,0.0094489240,0.0093203130,0.0094804890,0.0095071780,0.0093652760,0.0096093640,0.0138031310,0.0179324490,0.0159554260,0.0204731770,0.0011336550,0.0009394400,51977.7970900000,51823.9145600000,0.9320912810, 
50.5729580500,0.1152476400,0.0296983060,0.0152416050,0.0071589690,0.0165643470,0.0123878050,0.0109473440,0.0095156250,0.0093772740,0.0095287050,0.0095476710,0.0094083670,0.0096517270,0.0138499820,0.0179788210,0.0159664510,0.0204908050,0.0011323630,0.0009394320,54192.7325900000,51928.8037800000,0.9321053130, 
50.5814914100,0.1152596470,0.0296469200,0.0151588520,0.0070929960,0.0164435720,0.0122786420,0.0108429340,0.0094147790,0.0092739520,0.0094394780,0.0094544540,0.0093209040,0.0095656100,0.0137534670,0.0178786950,0.0159296290,0.0204402670,0.0011313380,0.0009404340,51757.4991500000,51914.7473000000,0.9320963230, 
50.5900247700,0.1151866170,0.0295696240,0.0150921560,0.0070533090,0.0163593140,0.0122217720,0.0107967390,0.0093825170,0.0092559400,0.0094219820,0.0094353550,0.0093080710,0.0095474950,0.0137326780,0.0178556420,0.0159354440,0.0204358390,0.0011307280,0.0009416060,51028.2846600000,51858.9364900000,0.9320943280, 
